Dirección,Tipo,Inicio,Fin,Duración,Latitud,Longitud
Av. Primat Reig,Acometida agua,30/09/25,20/10/25,1,39.490859181089,-0.37214130330301
Ruiz,Acometida agua,16/10/25,20/10/25,1,39.430394972788,-0.3938027888576
Poeta Josep Cervera I Grifol,Acometida de gas,15/10/25,20/10/25,1,39.454784977596,-0.35805566118951
Algar De Palància,Canalización eléctrica,29/09/25,20/10/25,1,39.432900921967,-0.39106078581221
Literat Gabriel Miró,Registro arqueta domiciliaria saneamiento,15/10/25,20/10/25,1,39.472569013522,-0.38960220014981
Forn De L'hospital,Canalización,13/10/25,21/10/25,2,39.471214117526,-0.38263258469958
Cervantes,Canalización eléctrica,30/09/25,21/10/25,2,39.468136740657,-0.38119053994365
Pare Jofre,Canalización eléctrica,30/09/25,21/10/25,2,39.467510703357,-0.38099319590003
Joan Baptista Vives,Nueva acometida desagüe y arqueta domiciliaria,13/10/25,21/10/25,2,39.470965118278,-0.39721708642604
Jesús,Remodelación aceras,07/10/25,21/10/25,2,39.460670858982,-0.38809460438253
Av. Real De Madrid,Canalización eléctrica,30/09/25,22/10/25,3,39.431012078137,-0.39239744689601
Campaners,Apertura de zanja,08/10/25,24/10/25,5,39.455809652835,-0.39788646918292
Doctor Lluch,Canalización,06/10/25,24/10/25,5,39.471721558054,-0.3277413606697
Espadà,Canalización,06/10/25,24/10/25,5,39.471441627216,-0.32849594210398
Reina,Canalización,06/10/25,24/10/25,5,39.471766638652,-0.32813481572859
Misser Rabassa,Canalización eléctrica,03/10/25,24/10/25,5,39.457222426226,-0.38897890063341
Vila-Real,Canalización eléctrica,20/10/25,24/10/25,5,39.487314748486,-0.36678750355676
Escultor Alfons Gabino,Canalización ramal,13/10/25,24/10/25,5,39.474572470984,-0.34600889119928
Pare Antón Martín,Canalización ramal,03/10/25,24/10/25,5,39.477119184776,-0.32859248883999
Guadalquivir,Instalación puntos de agua pusdar,13/10/25,24/10/25,5,39.432379616633,-0.37630405309264
Guadalquivir,Instalación puntos de agua pusdar,06/10/25,24/10/25,5,39.432379616633,-0.37630405309264
Ramiro De Maeztu,Instalación puntos de agua pusdar,13/10/25,24/10/25,5,39.467064835659,-0.34624779362012
Ramiro De Maeztu,Instalación puntos de agua pusdar,06/10/25,24/10/25,5,39.467064835659,-0.34624779362012
Av. Germans Maristes,Perforación dirigida canalización eléctrica,14/10/25,24/10/25,5,39.453902023247,-0.36201662868075
Av. Sant Josep Artesà,Puntos de suministro de agua declorada pusdar 2025,01/10/25,24/10/25,5,39.49748014695,-0.39453032322967
Andreu Alfaro (Escultor),Puntos de suministro de agua declorada pusdar 2025,01/10/25,24/10/25,5,39.497800767303,-0.39516948230456
Pl. Colònia Espanyola De Mèxic,Puntos de suministro de agua declorada pusdar 2025,01/10/25,24/10/25,5,39.464519550015,-0.40911410033249
Conca,Reurbanizacion Pérez Galdós-Giorgeta,13/10/25,24/10/25,5,39.464775317199,-0.38794108904046
Gv. Marqués Del Túria,Reparación deficiencia,20/10/25,25/10/25,6,39.468755619103,-0.36512822016106
Av. Karl Marx,Canalización eléctrica,06/10/25,26/10/25,7,39.431075331738,-0.37718937195112
Av. Karl Marx,Canalización eléctrica,04/10/25,26/10/25,7,39.431075331738,-0.37718937195112
Sant Joan Bosco,Acometida desagüe,20/10/25,27/10/25,8,39.496840325558,-0.3697300562406
Sant Josep De La Vega,Canalización agua,09/10/25,27/10/25,8,39.462418995568,-0.33494237879661
Sant Josep De La Vega,Canalización agua,10/10/25,27/10/25,8,39.462418995568,-0.33494237879661
Aldaia,Canalización,06/10/25,28/10/25,9,39.4972008265,-0.41793498048161
Bernardo Prieto,Canalización,06/10/25,28/10/25,9,39.497329408941,-0.41520941189883
Cami. Montanyars,Canalización arquetas,13/10/25,28/10/25,9,39.419187191718,-0.33612587546592
Naturalista Arévalo Baca,Canalización,06/10/25,31/10/25,12,39.474611989917,-0.36238487758833
Av. Cid,Canalización eléctrica,09/10/25,31/10/25,12,39.469339597675,-0.40469296049394
Illa De Sardenya,Canalización eléctrica,20/10/25,31/10/25,12,39.462105455052,-0.35394367991066
Gremis,Canalización ramal,06/10/25,31/10/25,12,39.46035787263,-0.41074438391102
Pl. Alfons El Magnànim,Canalización red arterial,13/10/25,31/10/25,12,39.472301993731,-0.37016666318684
Tres Forques,Carril bici,06/06/25,31/10/25,12,39.464185116889,-0.39214701712117
Tres Forques,Carril bici,01/09/25,31/10/25,12,39.464070869766,-0.39107045688002
Tres Forques,Carril bici,01/09/25,31/10/25,12,39.463446158054,-0.40784066993942
Tres Forques,Carril bici,01/09/25,31/10/25,12,39.463230130556,-0.4078486885764
Emili Lluch,Carril bici Tres Forques-Vara de Quart,02/05/25,31/10/25,12,39.463445306578,-0.40175092423645
Gremis,Carril bici Tres Forques-Vara de Quart,02/06/25,31/10/25,12,39.462081854394,-0.41170315955018
Joan Fuster (Escriptor),Carril bici Tres Forques-Vara de Quart,02/05/25,31/10/25,12,39.464274826902,-0.39775701233478
Seders,Carril bici Tres Forques-Vara de Quart,02/06/25,31/10/25,12,39.462802025074,-0.40683025572961
Segona República Espanyola,Colector,26/09/25,31/10/25,12,39.459585731612,-0.40238259488968
Av. Balears,Instalación puntos suministro aguapusdar,15/10/25,31/10/25,12,39.459276300354,-0.34129110448032
Salvador Guinot,Remodelación aceras,15/09/25,31/10/25,12,39.45364859503,-0.39109951109403
Major Del Castellar,Renovación canalización agua potable Castellar,25/09/25,31/10/25,12,39.432962669819,-0.36226097095588
Major Del Castellar,Renovación canalización agua potable Castellar,25/09/25,31/10/25,12,39.432467048395,-0.36265139840842
Vicent Puchol,Renovación canalización agua potable Castellar,13/09/25,31/10/25,12,39.428608995149,-0.36373781244101
Av. Peris I Valero,Reserva estacionamiento para acceso camiones obra,21/02/24,31/10/25,12,39.455289914863,-0.3799640486306
Escultor Garcia Mas,Canalización eléctrica,13/10/25,05/11/25,17,39.485678701934,-0.39854003608385
Pare Muedra,Canalización eléctrica,13/10/25,05/11/25,17,39.485909448618,-0.39878719327527
Naturalista Arévalo Baca,Colectores,29/09/25,07/11/25,19,39.474521191139,-0.36235343802635
Nord,Canalización,08/10/25,08/11/25,20,39.475487285,-0.39078330078743
Alcalde Reig,Paso de peatones,13/10/25,14/11/25,26,39.459677895796,-0.35890485229411
Av. Doctor Tomàs Sala,Carril bici,15/09/25,15/11/25,27,39.446394849724,-0.388210033356
Arxiduc Carles,Carril bici,22/04/25,27/11/25,39,39.457604010106,-0.40279329661461
Cn. Picanya,Carril bici,22/04/25,27/11/25,39,39.454109960512,-0.40688567936604
Cerdà I Rico,Colectores,06/10/25,28/11/25,40,39.473331973334,-0.39550157369248
Olivereta,Colectores,06/10/25,28/11/25,40,39.472636765051,-0.39623652768788
Palau De Justícia,Canalización red arterial,13/10/25,30/11/25,42,39.472050098588,-0.36938578249751
Sant Vicent Màrtir,Reurbanizacion Pérez Galdós-Giorgeta,01/10/25,30/11/25,42,39.458646305651,-0.38339413427694
Ángel Villena,Sustitución canalización de gas,13/10/25,30/12/25,72,39.448621801615,-0.36752596054236
